N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
148,코스모신소재,"59,200",400,+0.68%,"1,000","17,811","30,087",8.50,"1,400,817",84.81,9.42,
149,녹십자,"152,000","7,000",-4.40%,"5,000","17,764","11,687",22.56,"27,292",15.47,10.30,
150,TIGER 200,"31,370",710,-2.21%,0,"17,410","55,500",0.00,"1,586,090",N/A,N/A,
151,대웅제약,"147,500","3,500",-2.32%,"2,500","17,090","11,587",7.45,"15,764",27.84,4.39,
152,효성,"80,100","2,100",-2.55%,"5,000","16,878","21,071",6.39,"47,168",4.15,18.04,
153,현대백화점,"71,900","1,100",-1.51%,"5,000","16,826","23,402",20.30,"58,888",8.07,4.36,
154,롯데칠성,"179,500","3,500",-1.91%,500,"16,656","9,279",11.10,"17,993",11.49,9.96,
155,LIG넥스원,"75,500",600,-0.79%,"5,000","16,610","22,000",9.49,"162,940",13.09,14.63,
156,SK케미칼,"93,500","6,500",-6.50%,"5,000","16,475","17,621",18.75,"136,026",11.89,11.19,
157,휠라홀딩스,"27,000","1,200",-4.26%,"1,000","16,403","60,752",37.53,"350,226",7.25,16.20,
158,DL이앤씨,"41,900","2,550",-5.74%,"5,000","16,213","38,694",21.00,"412,221",3.47,N/A,
159,농심,"266,500","3,500",-1.30%,"5,000","16,210","6,083",13.24,"12,987",15.61,4.73,
160,한전KPS,"35,700",200,-0.56%,200,"16,065","45,000",5.10,"219,357",21.29,9.12,
161,효성티앤씨,"368,500","11,500",-3.03%,"5,000","15,948","4,328",10.14,"15,398",2.28,76.22,
162,오뚜기,"428,500",500,-0.12%,"5,000","15,734","3,672",12.08,"2,085",10.79,8.91,
163,TIGER 미국S&P500,"11,920",40,-0.33%,0,"15,717","131,850",0.51,"1,592,234",N/A,N/A,
164,코오롱인더,"55,800","2,700",-4.62%,"5,000","15,356","27,519",17.76,"120,523",7.47,8.20,
165,JB금융지주,"7,780",160,-2.02%,"5,000","15,325","196,983",27.87,"194,103",2.83,12.80,
166,LS ELECTRIC,"50,800",400,-0.78%,"5,000","15,240","30,000",14.46,"81,477",14.82,5.86,
167,KG스틸,"14,900",300,-1.97%,"5,000","14,901","100,009",1.44,"1,257,007",6.44,17.99,
168,KODEX 단기채권,"103,375",10,+0.01%,0,"14,720","14,239",0.02,"5,434,021",N/A,N/A,
169,동원시스템즈,"50,100","1,900",-3.65%,"5,000","14,623","29,188",13.03,"20,112",33.83,6.95,
170,한샘,"61,100","1,200",-1.93%,"1,000","14,379","23,534",13.54,"119,104",26.67,9.10,
171,현대위아,"52,000","2,700",-4.94%,"5,000","14,141","27,195",6.99,"170,102",25.94,1.96,
172,롯데리츠,"5,770",230,-3.83%,500,"14,019","242,969",10.85,"239,360",37.96,1.59,
173,LX인터내셔널,"35,750","1,050",-2.85%,"5,000","13,857","38,760",25.38,"465,976",3.13,22.49,
174,대웅,"23,700",900,-3.66%,500,"13,780","58,142",4.52,"31,678",13.91,11.13,
175,DL,"65,400","1,700",-2.53%,"5,000","13,705","20,956",10.77,"78,755",2.23,26.52,
176,KODEX 종합채권(AA-이상)액티브,"100,380",85,-0.08%,0,"13,650","13,598",0.00,"3,009",N/A,N/A,
177,대덕전자,"27,250","1,250",-4.39%,500,"13,466","49,417",18.20,"804,249",16.15,9.55,
178,롯데렌탈,"36,550",50,-0.14%,"5,000","13,390","36,634",4.76,"55,822",9.18,12.28,
179,동국제강,"13,900","1,150",-7.64%,"5,000","13,265","95,433",21.87,"540,376",1.67,23.41,
180,KODEX 2차전지산업,"19,345",295,-1.50%,0,"13,058","67,500",0.75,"2,598,612",N/A,N/A,
181,에스엘,"27,800",750,-2.63%,500,"12,913","46,449",14.27,"68,079",16.06,6.63,
182,DGB금융지주,"7,610",260,-3.30%,"5,000","12,872","169,146",48.77,"462,847",2.38,9.63,
183,일진하이솔루스,"35,400","1,450",-3.93%,500,"12,855","36,313",1.46,"94,618",132.58,4.97,
184,KODEX 삼성그룹,"8,235",135,-1.61%,0,"12,830","155,800",0.13,"388,810",N/A,N/A,
185,TIGER 2차전지테마,"19,990",390,-1.91%,0,"12,784","63,950",0.96,"2,111,086",N/A,N/A,
186,TIGER 미국필라델피아반도체나스닥,"8,965",25,-0.28%,0,"12,466","139,050",0.13,"1,038,120",N/A,N/A,
187,한미반도체,"12,500",850,-6.37%,100,"12,365","98,920",5.50,"484,348",11.93,34.59,
188,TIGER 미국테크TOP10 INDXX,"9,570",65,+0.68%,0,"12,317","128,700",0.49,"481,724",N/A,N/A,
189,아이에스동서,"39,600","2,400",-5.71%,500,"12,233","30,893",5.61,"84,373",7.10,8.69,
190,한국앤컴퍼니,"12,750",500,-3.77%,500,"12,104","94,935",9.63,"70,489",6.79,5.53,
191,ESR켄달스퀘어리츠,"5,610",290,-4.92%,"1,000","11,954","213,089",52.40,"406,995",40.07,1.34,
192,TIGER MSCI Korea TR,"12,750",345,-2.63%,0,"11,794","92,500",4.76,"6,733",N/A,N/A,
193,신풍제약,"22,050","1,200",-5.16%,500,"11,683","52,985",5.85,"275,010",-66.22,-3.19,
194,아시아나항공,"15,600",950,-5.74%,"5,000","11,608","74,412",7.09,"474,190",-21.43,-47.21,
195,현대엘리베이,"27,650","1,250",-4.33%,"5,000","11,285","40,815",29.69,"141,839",11.10,10.62,
196,TIGER TOP10,"10,155",225,-2.17%,0,"11,089","109,200",0.22,"186,567",N/A,N/A,
197,서울가스,"221,500","2,500",-1.12%,"5,000","11,075","5,000",5.27,"8,777",60.26,0.80,
198,두산,"66,500","3,600",-5.14%,"5,000","10,988","16,524",11.41,"73,661",76.17,11.08,
199,대성홀딩스,"68,100",100,+0.15%,"1,000","10,957","16,089",5.43,"26,717",63.06,3.61,
200,코리안리,"9,100",290,-3.09%,500,"10,954","120,369",30.59,"110,119",7.69,6.16,
